# sweepparam	measured1
# "sweepparam"	"measured1"
# 928
1.4806	-1.4105e+06
1.48707	-1.40957e+06
1.49353	-1.40464e+06
1.5	-1.4104e+06
1.50647	-1.40941e+06
1.51293	-1.40938e+06
1.5194	-1.4057e+06
1.52586	-1.39755e+06
1.53233	-1.40325e+06
1.53879	-1.40596e+06
1.54526	-1.40736e+06
1.55172	-1.40384e+06
1.55819	-1.40025e+06
1.56466	-1.40686e+06
1.57112	-1.39935e+06
1.57759	-1.39662e+06
1.58405	-1.39672e+06
1.59052	-1.39929e+06
1.59698	-1.40236e+06
1.60345	-1.39019e+06
1.60991	-1.39961e+06
1.61638	-1.39410e+06
1.62284	-1.39316e+06
1.62931	-1.39641e+06
1.63578	-1.40334e+06
1.64224	-1.40204e+06
1.64871	-1.39806e+06
1.65517	-1.39557e+06
1.66164	-1.39861e+06
1.6681	-1.39606e+06
1.67457	-1.39356e+06
1.68103	-1.38358e+06
1.6875	-1.38228e+06
1.69397	-1.38583e+06
1.70043	-1.38476e+06
1.7069	-1.37804e+06
1.71336	-1.39155e+06
1.71983	-1.39828e+06
1.72629	-1.39895e+06
1.73276	-1.39423e+06
1.73922	-1.39142e+06
1.74569	-1.38953e+06
1.75216	-1.38811e+06
1.75862	-1.38508e+06
1.76509	-1.37884e+06
1.77155	-1.38272e+06
1.77802	-1.38117e+06
1.78448	-1.38437e+06
1.79095	-1.38214e+06
1.79741	-1.38256e+06
1.80388	-1.38742e+06
1.81034	-1.38976e+06
1.81681	-1.38291e+06
1.82328	-1.37719e+06
1.82974	-1.38203e+06
1.83621	-1.37755e+06
1.84267	-1.36521e+06
1.84914	-1.37215e+06
1.8556	-1.37173e+06
1.86207	-1.37489e+06
1.86853	-1.36493e+06
1.875	-1.3692e+06
1.88147	-1.36804e+06
1.88793	-1.36645e+06
1.8944	-1.36984e+06
1.90086	-1.38163e+06
1.90733	-1.38386e+06
1.91379	-1.36983e+06
1.92026	-1.36835e+06
1.92672	-1.36453e+06
1.93319	-1.36752e+06
1.93966	-1.36312e+06
1.94612	-1.3548e+06
1.95259	-1.35424e+06
1.95905	-1.35015e+06
1.96552	-1.35865e+06
1.97198	-1.35406e+06
1.97845	-1.35063e+06
1.98491	-1.35754e+06
1.99138	-1.35985e+06
1.99784	-1.3515e+06
2.00431	-1.35033e+06
2.01078	-1.34588e+06
2.01724	-1.34984e+06
2.02371	-1.36079e+06
2.03017	-1.35645e+06
2.03664	-1.35441e+06
2.0431	-1.35235e+06
2.04957	-1.34551e+06
2.05603	-1.3482e+06
2.0625	-1.35064e+06
2.06897	-1.35184e+06
2.07543	-1.34641e+06
2.0819	-1.3496e+06
2.08836	-1.34136e+06
2.09483	-1.34876e+06
2.10129	-1.34549e+06
2.10776	-1.34277e+06
2.11422	-1.33952e+06
2.12069	-1.33669e+06
2.12716	-1.34157e+06
2.13362	-1.34185e+06
2.14009	-1.33418e+06
2.14655	-1.33725e+06
2.15302	-1.33796e+06
2.15948	-1.34285e+06
2.16595	-1.34161e+06
2.17241	-1.33748e+06
2.17888	-1.32666e+06
2.18534	-1.3397e+06
2.19181	-1.34478e+06
2.19828	-1.33459e+06
2.20474	-1.33266e+06
2.21121	-1.33096e+06
2.21767	-1.32053e+06
2.22414	-1.31946e+06
2.2306	-1.33134e+06
2.23707	-1.32725e+06
2.24353	-1.32566e+06
2.25	-1.32654e+06
2.25647	-1.32462e+06
2.26293	-1.31428e+06
2.2694	-1.31561e+06
2.27586	-1.32482e+06
2.28233	-1.32748e+06
2.28879	-1.32537e+06
2.29526	-1.32124e+06
2.30172	-1.32531e+06
2.30819	-1.31740e+06
2.31466	-1.31216e+06
2.32112	-1.31804e+06
2.32759	-1.31688e+06
2.33405	-1.31562e+06
2.34052	-1.31417e+06
2.34698	-1.31684e+06
2.35345	-1.31701e+06
2.35991	-1.31364e+06
2.36638	-1.30362e+06
2.37284	-1.31013e+06
2.37931	-1.32062e+06
2.38578	-1.32333e+06
2.39224	-1.30734e+06
2.39871	-1.30712e+06
2.40517	-1.31132e+06
2.41164	-1.31042e+06
2.4181	-1.31017e+06
2.42457	-1.31912e+06
2.43103	-1.30684e+06
2.4375	-1.29831e+06
2.44397	-1.30999e+06
2.45043	-1.31329e+06
2.4569	-1.30858e+06
2.46336	-1.30582e+06
2.46983	-1.311e+06
2.47629	-1.30534e+06
2.48276	-1.30339e+06
2.48922	-1.30424e+06
2.49569	-1.3086e+06
2.50216	-1.30374e+06
2.50862	-1.30089e+06
2.51509	-1.30033e+06
2.52155	-1.29736e+06
2.52802	-1.29233e+06
2.53448	-1.3007e+06
2.54095	-1.29527e+06
2.54741	-1.30002e+06
2.55388	-1.2928e+06
2.56034	-1.28003e+06
2.56681	-1.28518e+06
2.57328	-1.28223e+06
2.57974	-1.29163e+06
2.58621	-1.29366e+06
2.59267	-1.28801e+06
2.59914	-1.28891e+06
2.6056	-1.28352e+06
2.61207	-1.27908e+06
2.61853	-1.2891e+06
2.625	-1.29033e+06
2.63147	-1.27786e+06
2.63793	-1.27394e+06
2.6444	-1.27602e+06
2.65086	-1.27186e+06
2.65733	-1.28293e+06
2.66379	-1.28401e+06
2.67026	-1.27784e+06
2.67672	-1.26489e+06
2.68319	-1.26904e+06
2.68966	-1.27687e+06
2.69612	-1.27477e+06
2.70259	-1.27085e+06
2.70905	-1.2689e+06
2.71552	-1.26817e+06
2.72198	-1.27581e+06
2.72845	-1.27363e+06
2.73491	-1.26972e+06
2.74138	-1.25724e+06
2.74784	-1.26149e+06
2.75431	-1.26541e+06
2.76078	-1.25804e+06
2.76724	-1.25832e+06
2.77371	-1.25675e+06
2.78017	-1.25484e+06
2.78664	-1.24653e+06
2.7931	-1.2561e+06
2.79957	-1.25822e+06
2.80603	-1.26082e+06
