# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	0	-450086
4e+10	0.00646552	-464711
4e+10	0.012931	-473716
4e+10	0.0193966	-473446
4e+10	0.0258621	-494915
4e+10	0.0323276	-498387
4e+10	0.0387931	-509153
4e+10	0.0452586	-526752
4e+10	0.0517241	-534479
4e+10	0.0581897	-538813
4e+10	0.0646552	-557756
4e+10	0.0711207	-576709
4e+10	0.0775862	-587907
4e+10	0.0840517	-599520
4e+10	0.0905172	-604996
4e+10	0.0969828	-618519
4e+10	0.103448	-622553
4e+10	0.109914	-634714
4e+10	0.116379	-655141
4e+10	0.122845	-669683
4e+10	0.12931	-680396
4e+10	0.135776	-686423
4e+10	0.142241	-695476
4e+10	0.148707	-708877
4e+10	0.155172	-723980
4e+10	0.161638	-731343
4e+10	0.168103	-745253
4e+10	0.174569	-755414
4e+10	0.181034	-773900
4e+10	0.1875	-791301
4e+10	0.193966	-805080
4e+10	0.200431	-802507
4e+10	0.206897	-823068
4e+10	0.213362	-831380
4e+10	0.219828	-841913
4e+10	0.226293	-851856
4e+10	0.232759	-860264
4e+10	0.239224	-872127
4e+10	0.24569	-886349
4e+10	0.252155	-894517
4e+10	0.258621	-901139
4e+10	0.265086	-917447
4e+10	0.271552	-922997
4e+10	0.278017	-940057
4e+10	0.284483	-952557
4e+10	0.290948	-955893
4e+10	0.297414	-965443
4e+10	0.303879	-974993
4e+10	0.310345	-992395
4e+10	0.31681	-994590
4e+10	0.323276	-1.00812e+06
4e+10	0.329741	-1.0292e+06
4e+10	0.336207	-1.04038e+06
4e+10	0.342672	-1.04058e+06
4e+10	0.349138	-1.04524e+06
4e+10	0.355603	-1.05404e+06
4e+10	0.362069	-1.06606e+06
4e+10	0.368534	-1.08243e+06
4e+10	0.375	-1.0893e+06
4e+10	0.381466	-1.09139e+06
4e+10	0.387931	-1.10902e+06
4e+10	0.394397	-1.11445e+06
4e+10	0.400862	-1.1177e+06
4e+10	0.407328	-1.12943e+06
4e+10	0.413793	-1.13885e+06
4e+10	0.420259	-1.14916e+06
4e+10	0.426724	-1.1512e+06
4e+10	0.43319	-1.15244e+06
4e+10	0.439655	-1.15801e+06
4e+10	0.446121	-1.15565e+06
4e+10	0.452586	-1.16063e+06
4e+10	0.459052	-1.17825e+06
4e+10	0.465517	-1.18207e+06
4e+10	0.471983	-1.19028e+06
4e+10	0.478448	-1.19615e+06
4e+10	0.484914	-1.20276e+06
4e+10	0.491379	-1.21212e+06
4e+10	0.497845	-1.2152e+06
4e+10	0.50431	-1.2254e+06
4e+10	0.510776	-1.23846e+06
4e+10	0.517241	-1.23134e+06
4e+10	0.523707	-1.23629e+06
4e+10	0.530172	-1.24312e+06
4e+10	0.536638	-1.24088e+06
4e+10	0.543103	-1.24613e+06
4e+10	0.549569	-1.25331e+06
4e+10	0.556034	-1.27144e+06
4e+10	0.5625	-1.27013e+06
4e+10	0.568966	-1.27462e+06
4e+10	0.575431	-1.28123e+06
4e+10	0.581897	-1.28468e+06
4e+10	0.588362	-1.2817e+06
4e+10	0.594828	-1.28254e+06
4e+10	0.601293	-1.29588e+06
4e+10	0.607759	-1.29674e+06
4e+10	0.614224	-1.30541e+06
