# sweepparam	measured1
# "sweepparam"	"measured1"
# 928
3.56681	-3357
3.57759	-4226
3.58836	-6465
3.59914	-690
3.60991	-4128
3.62069	-9098
3.63147	-1846
3.64224	-2661
3.65302	-7989
3.66379	-8025
3.67457	-5156
3.68534	-3260
3.69612	-5301
3.7069	10440
3.71767	12989
3.72845	9166
3.73922	-5175
3.75	-4424
3.76078	4206
3.77155	-2230
3.78233	-2840
3.7931	6316
3.80388	4248
3.81466	-3819
3.82543	-5203
3.83621	-3529
3.84698	-6591
3.85776	-4254
3.86853	-6920
3.87931	-10150
3.89009	-1912
3.90086	-4743
3.91164	1760
3.92241	6261
3.93319	1152
3.94397	-3547
3.95474	-676
3.96552	2074
3.97629	-1653
3.98707	-858
3.99784	-3450
4.00862	-8921
4.0194	-6459
4.03017	-2171
4.04095	-2236
4.05172	5399
4.0625	-3542
4.07328	-4844
4.08405	-3476
4.09483	-2812
4.1056	630
4.11638	-882
4.12716	5860
4.13793	-4727
4.14871	-24
4.15948	15
4.17026	3239
4.18103	1256
4.19181	988
4.20259	7627
4.21336	8363
4.22414	3442
4.23491	4817
4.24569	9444
4.25647	8649
4.26724	12360
4.27802	7622
4.28879	9682
4.29957	13839
4.31034	7237
4.32112	-982
4.3319	5847
4.34267	10473
4.35345	10220
4.36422	7426
4.375	3731
4.38578	2734
4.39655	8661
4.40733	2882
4.4181	6426
4.42888	5335
4.43966	2166
4.45043	14280
4.46121	15322
4.47198	10270
4.48276	8834
4.49353	15527
4.50431	11140
4.51509	12006
4.52586	14715
4.53664	8435
4.54741	10629
4.55819	14480
4.56897	8021
4.57974	13032
4.59052	13570
4.60129	14482
4.61207	16018
4.62284	13569
4.63362	2157
4.6444	2266
4.65517	8680
4.66595	12779
4.67672	11222
4.6875	14841
4.69828	25046
4.70905	11430
4.71983	10159
4.7306	18351
4.74138	14947
4.75216	18352
4.76293	22049
4.77371	14886
4.78448	18722
4.79526	16572
4.80603	15221
4.81681	15663
