# gates_P4_set	keithley2_amplitude
# "P4"	"keithley2"
# 800
-2.10369	0.498082
-2.08369	0.499803
-2.06369	0.499213
-2.04369	0.497501
-2.02369	0.500328
-2.00369	0.497798
-1.98369	0.498223
-1.96369	0.499683
-1.94369	0.500781
-1.92369	0.495821
-1.90369	0.501417
-1.88369	0.501542
-1.86369	0.50128
-1.84369	0.502972
-1.82369	0.504658
-1.80369	0.504542
-1.78369	0.499656
-1.76369	0.502774
-1.74369	0.501192
-1.72369	0.507388
-1.70369	0.503076
-1.68369	0.505056
-1.66369	0.502916
-1.64369	0.503287
-1.62369	0.50455
-1.60369	0.507224
-1.58369	0.501958
-1.56369	0.504126
-1.54369	0.505986
-1.52369	0.500646
-1.50369	0.503982
-1.48369	0.505975
-1.46369	0.506957
-1.44369	0.50401
-1.42369	0.502763
-1.40369	0.505225
-1.38369	0.496249
-1.36369	0.502772
-1.34369	0.50774
-1.32369	0.507898
-1.30369	0.504988
-1.28369	0.505581
-1.26369	0.504327
-1.24369	0.508259
-1.22369	0.508898
-1.20369	0.510148
-1.18369	0.507632
-1.16369	0.504336
-1.14369	0.505325
-1.12369	0.506331
-1.10369	0.508193
-1.08369	0.508798
-1.06369	0.506226
-1.04369	0.507275
-1.02369	0.509204
-1.00369	0.505484
-0.983689	0.506193
-0.963689	0.510929
-0.943689	0.511944
-0.923689	0.508828
-0.903689	0.512984
-0.883689	0.515227
-0.863689	0.508465
-0.843689	0.514038
-0.823689	0.507837
-0.803689	0.511908
-0.783689	0.513093
-0.763689	0.513341
-0.743689	0.510374
-0.723689	0.50826
-0.703689	0.515425
-0.683689	0.513894
-0.663689	0.512363
-0.643689	0.511524
-0.623689	0.509722
-0.603689	0.505054
-0.583689	0.513371
-0.563689	0.519801
-0.543689	0.513378
-0.523689	0.518498
-0.503689	0.509525
-0.483689	0.513873
-0.463689	0.512741
-0.443689	0.515072
-0.423689	0.517499
-0.403689	0.523112
-0.383689	0.5212
-0.363689	0.516466
-0.343689	0.512783
-0.323689	0.518093
-0.303689	0.516081
-0.283689	0.520411
-0.263689	0.520293
-0.243689	0.516584
-0.223689	0.514215
-0.203689	0.513376
-0.183689	0.515846
-0.163689	0.513569
-0.143689	0.516395
-0.123689	0.516912
-0.103689	0.518907
-0.0836893	0.517801
-0.0636893	0.515881
-0.0436893	0.518388
-0.0236893	0.519449
-0.00368934	0.514986
0.0163107	0.521689
0.0363107	0.513968
0.0563107	0.515818
0.0763107	0.513369
0.0963107	0.518001
0.116311	0.519509
0.136311	0.518271
0.156311	0.517053
0.176311	0.517007
0.196311	0.519447
0.216311	0.517107
0.236311	0.517637
0.256311	0.52197
0.276311	0.518691
0.296311	0.518042
0.316311	0.51936
0.336311	0.516127
0.356311	0.518027
0.376311	0.517376
0.396311	0.521755
0.416311	0.517843
0.436311	0.522213
0.456311	0.525489
0.476311	0.507311
0.496311	0.519174
0.516311	0.524585
0.536311	0.526705
0.556311	0.527787
0.576311	0.5227
0.596311	0.522302
0.616311	0.525256
0.636311	0.52037
0.656311	0.522799
0.676311	0.524392
0.696311	0.524073
0.716311	0.524854
0.736311	0.525419
0.756311	0.522954
0.776311	0.529307
0.796311	0.522412
0.816311	0.523614
0.836311	0.523298
0.856311	0.526437
0.876311	0.524385
0.896311	0.52549
0.916311	0.525543
0.936311	0.525223
0.956311	0.526301
0.976311	0.524072
0.996311	0.523239
1.01631	0.520504
1.03631	0.52559
1.05631	0.525085
1.07631	0.527123
1.09631	0.527584
