# stepparam	sweepparam	measured
# "stepparam"	"sweepparam"	"measured"
# 85	84
-28.5882	20.7143	-4.72462e+06
-28.5882	21.4286	-4.72712e+06
-28.5882	22.1429	-4.71322e+06
-28.5882	22.8571	-4.70413e+06
-28.5882	23.5714	-4.69312e+06
-28.5882	24.2857	-4.68374e+06
-28.5882	25	-4.67806e+06
-28.5882	25.7143	-4.65358e+06
-28.5882	26.4286	-4.63677e+06
-28.5882	27.1429	-4.62503e+06
-28.5882	27.8571	-4.61225e+06
-28.5882	28.5714	-4.60378e+06
-28.5882	29.2857	-4.58984e+06

-27.8824	-30	-4.65382e+06
-27.8824	-29.2857	-4.62423e+06
-27.8824	-28.5714	-4.60172e+06
-27.8824	-27.8571	-4.58877e+06
-27.8824	-27.1429	-4.57148e+06
-27.8824	-26.4286	-4.55542e+06
-27.8824	-25.7143	-4.53902e+06
-27.8824	-25	-4.52537e+06
-27.8824	-24.2857	-4.52106e+06
-27.8824	-23.5714	-4.51873e+06
-27.8824	-22.8571	-4.51878e+06
-27.8824	-22.1429	-4.51351e+06
-27.8824	-21.4286	-4.5054e+06
-27.8824	-20.7143	-4.50413e+06
-27.8824	-20	-4.49151e+06
-27.8824	-19.2857	-4.48007e+06
-27.8824	-18.5714	-4.47789e+06
-27.8824	-17.8571	-4.47202e+06
-27.8824	-17.1429	-4.48116e+06
-27.8824	-16.4286	-4.47961e+06
-27.8824	-15.7143	-4.4706e+06
-27.8824	-15	-4.46268e+06
-27.8824	-14.2857	-4.45969e+06
-27.8824	-13.5714	-4.45424e+06
-27.8824	-12.8571	-4.45112e+06
-27.8824	-12.1429	-4.45006e+06
-27.8824	-11.4286	-4.448e+06
-27.8824	-10.7143	-4.44589e+06
-27.8824	-10	-4.43376e+06
-27.8824	-9.28571	-4.42808e+06
-27.8824	-8.57143	-4.42742e+06
-27.8824	-7.85714	-4.421e+06
-27.8824	-7.14286	-4.41007e+06
-27.8824	-6.42857	-4.42404e+06
-27.8824	-5.71429	-4.47814e+06
-27.8824	-5	-4.61799e+06
-27.8824	-4.28571	-4.71621e+06
-27.8824	-3.57143	-4.74864e+06
-27.8824	-2.85714	-4.77182e+06
-27.8824	-2.14286	-4.78311e+06
-27.8824	-1.42857	-4.78179e+06
-27.8824	-0.714286	-4.78696e+06
-27.8824	0	-4.78466e+06
-27.8824	0.714286	-4.77868e+06
-27.8824	1.42857	-4.77748e+06
-27.8824	2.14286	-4.78015e+06
-27.8824	2.85714	-4.77976e+06
-27.8824	3.57143	-4.77518e+06
-27.8824	4.28571	-4.76877e+06
-27.8824	5	-4.77179e+06
-27.8824	5.71429	-4.76771e+06
-27.8824	6.42857	-4.7617e+06
-27.8824	7.14286	-4.7558e+06
-27.8824	7.85714	-4.76272e+06
-27.8824	8.57143	-4.75269e+06
-27.8824	9.28571	-4.74734e+06
-27.8824	10	-4.75516e+06
-27.8824	10.7143	-4.7534e+06
-27.8824	11.4286	-4.74247e+06
-27.8824	12.1429	-4.74435e+06
-27.8824	12.8571	-4.74512e+06
-27.8824	13.5714	-4.73447e+06
-27.8824	14.2857	-4.7452e+06
-27.8824	15	-4.73829e+06
-27.8824	15.7143	-4.73485e+06
-27.8824	16.4286	-4.72891e+06
-27.8824	17.1429	-4.71824e+06
-27.8824	17.8571	-4.7182e+06
-27.8824	18.5714	-4.70667e+06
-27.8824	19.2857	-4.70959e+06
-27.8824	20	-4.70653e+06
-27.8824	20.7143	-4.69763e+06
-27.8824	21.4286	-4.67437e+06
-27.8824	22.1429	-4.65964e+06
-27.8824	22.8571	-4.65895e+06
-27.8824	23.5714	-4.65836e+06
-27.8824	24.2857	-4.6402e+06
-27.8824	25	-4.6207e+06
-27.8824	25.7143	-4.61348e+06
-27.8824	26.4286	-4.60597e+06
-27.8824	27.1429	-4.59475e+06
-27.8824	27.8571	-4.5823e+06
-27.8824	28.5714	-4.5614e+06
-27.8824	29.2857	-4.54546e+06

-27.1765	-30	-4.59734e+06
-27.1765	-29.2857	-4.57664e+06
-27.1765	-28.5714	-4.55596e+06
-27.1765	-27.8571	-4.53143e+06
-27.1765	-27.1429	-4.51714e+06
-27.1765	-26.4286	-4.51211e+06
-27.1765	-25.7143	-4.49868e+06
-27.1765	-25	-4.47973e+06
-27.1765	-24.2857	-4.46728e+06
-27.1765	-23.5714	-4.4647e+06
-27.1765	-22.8571	-4.47027e+06
-27.1765	-22.1429	-4.46058e+06
-27.1765	-21.4286	-4.44593e+06
-27.1765	-20.7143	-4.43726e+06
-27.1765	-20	-4.42886e+06
-27.1765	-19.2857	-4.4242e+06
-27.1765	-18.5714	-4.4323e+06
-27.1765	-17.8571	-4.42725e+06
-27.1765	-17.1429	-4.41603e+06
-27.1765	-16.4286	-4.40861e+06
-27.1765	-15.7143	-4.40188e+06
-27.1765	-15	-4.39766e+06
-27.1765	-14.2857	-4.38824e+06
-27.1765	-13.5714	-4.39138e+06
-27.1765	-12.8571	-4.38453e+06
-27.1765	-12.1429	-4.38348e+06
-27.1765	-11.4286	-4.37592e+06
-27.1765	-10.7143	-4.37198e+06
-27.1765	-10	-4.36592e+06
-27.1765	-9.28571	-4.36496e+06
-27.1765	-8.57143	-4.35737e+06
-27.1765	-7.85714	-4.3484e+06
-27.1765	-7.14286	-4.34798e+06
-27.1765	-6.42857	-4.35995e+06
-27.1765	-5.71429	-4.4186e+06
-27.1765	-5	-4.5551e+06
-27.1765	-4.28571	-4.66061e+06
-27.1765	-3.57143	-4.71957e+06
-27.1765	-2.85714	-4.72693e+06
-27.1765	-2.14286	-4.72215e+06
-27.1765	-1.42857	-4.73751e+06
-27.1765	-0.714286	-4.74236e+06
-27.1765	0	-4.73553e+06
-27.1765	0.714286	-4.73225e+06
-27.1765	1.42857	-4.738e+06
-27.1765	2.14286	-4.73594e+06
-27.1765	2.85714	-4.72161e+06
-27.1765	3.57143	-4.72504e+06
-27.1765	4.28571	-4.72447e+06
-27.1765	5	-4.72298e+06
-27.1765	5.71429	-4.72893e+06
-27.1765	6.42857	-4.73155e+06
-27.1765	7.14286	-4.72096e+06
-27.1765	7.85714	-4.70949e+06
-27.1765	8.57143	-4.71225e+06
-27.1765	9.28571	-4.71015e+06
-27.1765	10	-4.70557e+06
-27.1765	10.7143	-4.6955e+06
-27.1765	11.4286	-4.70128e+06
-27.1765	12.1429	-4.69892e+06
-27.1765	12.8571	-4.68668e+06
-27.1765	13.5714	-4.6827e+06
-27.1765	14.2857	-4.69297e+06
-27.1765	15	-4.68915e+06
-27.1765	15.7143	-4.68124e+06
-27.1765	16.4286	-4.6713e+06
-27.1765	17.1429	-4.67786e+06
-27.1765	17.8571	-4.67608e+06
-27.1765	18.5714	-4.664e+06
-27.1765	19.2857	-4.65783e+06
-27.1765	20	-4.65767e+06
-27.1765	20.7143	-4.64534e+06
-27.1765	21.4286	-4.63066e+06
-27.1765	22.1429	-4.61588e+06
-27.1765	22.8571	-4.6109e+06
-27.1765	23.5714	-4.59594e+06
-27.1765	24.2857	-4.58447e+06
-27.1765	25	-4.57529e+06
-27.1765	25.7143	-4.56451e+06
-27.1765	26.4286	-4.54674e+06
-27.1765	27.1429	-4.52585e+06
-27.1765	27.8571	-4.51128e+06
-27.1765	28.5714	-4.50664e+06
-27.1765	29.2857	-4.4981e+06

-26.4706	-30	-4.57137e+06
-26.4706	-29.2857	-4.52761e+06
-26.4706	-28.5714	-4.49925e+06
-26.4706	-27.8571	-4.48722e+06
-26.4706	-27.1429	-4.46328e+06
-26.4706	-26.4286	-4.44606e+06
-26.4706	-25.7143	-4.43254e+06
-26.4706	-25	-4.41879e+06
-26.4706	-24.2857	-4.41497e+06
-26.4706	-23.5714	-4.40989e+06
-26.4706	-22.8571	-4.39186e+06
-26.4706	-22.1429	-4.38694e+06
-26.4706	-21.4286	-4.38156e+06
-26.4706	-20.7143	-4.36829e+06
-26.4706	-20	-4.36704e+06
-26.4706	-19.2857	-4.36415e+06
-26.4706	-18.5714	-4.35281e+06
-26.4706	-17.8571	-4.34684e+06
-26.4706	-17.1429	-4.35523e+06
