# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	1.64871	63542
4e+10	1.65948	61321
4e+10	1.67026	68314
4e+10	1.68103	67279
4e+10	1.69181	64787
4e+10	1.70259	63461
4e+10	1.71336	64802
4e+10	1.72414	59295
4e+10	1.73491	55192
4e+10	1.74569	55015
4e+10	1.75647	51265
4e+10	1.76724	46014
4e+10	1.77802	53285
4e+10	1.78879	43785
4e+10	1.79957	49544
4e+10	1.81034	52276
4e+10	1.82112	42755
4e+10	1.8319	45690
4e+10	1.84267	44229
4e+10	1.85345	39094
4e+10	1.86422	40798
4e+10	1.875	39480
4e+10	1.88578	40846
4e+10	1.89655	43480
4e+10	1.90733	44905
4e+10	1.9181	38352
4e+10	1.92888	29002
4e+10	1.93966	30668
4e+10	1.95043	34363
4e+10	1.96121	36950
4e+10	1.97198	34117
4e+10	1.98276	33721
4e+10	1.99353	32929
4e+10	2.00431	34253
4e+10	2.01509	22346
4e+10	2.02586	27669
4e+10	2.03664	25735
4e+10	2.04741	16709
4e+10	2.05819	17308
4e+10	2.06897	11432
4e+10	2.07974	9599
4e+10	2.09052	16132
4e+10	2.10129	19190
4e+10	2.11207	19135
4e+10	2.12284	13700
4e+10	2.13362	6713
4e+10	2.1444	7224
4e+10	2.15517	11428
4e+10	2.16595	12802
4e+10	2.17672	18948
4e+10	2.1875	12801
4e+10	2.19828	4986
4e+10	2.20905	-1482
4e+10	2.21983	7927
4e+10	2.2306	5648
4e+10	2.24138	11213
4e+10	2.25216	12359
4e+10	2.26293	216
4e+10	2.27371	4648
4e+10	2.28448	11137
4e+10	2.29526	1548
4e+10	2.30603	7051
4e+10	2.31681	980
4e+10	2.32759	-6578
4e+10	2.33836	-5621
4e+10	2.34914	-8129
4e+10	2.35991	-8725
4e+10	2.37069	-7029
4e+10	2.38147	-2657
4e+10	2.39224	-3833
4e+10	2.40302	-12849
4e+10	2.41379	-15449
4e+10	2.42457	-15544
4e+10	2.43534	-4055
4e+10	2.44612	129
4e+10	2.4569	-8260
4e+10	2.46767	-7568
4e+10	2.47845	959
4e+10	2.48922	-7034
4e+10	2.5	-11041
4e+10	2.51078	-11110
4e+10	2.52155	-14358
4e+10	2.53233	-18466
4e+10	2.5431	-28695
4e+10	2.55388	-20578
4e+10	2.56466	-22173
4e+10	2.57543	-16545
4e+10	2.58621	-20894
4e+10	2.59698	-20874
4e+10	2.60776	-11265
4e+10	2.61853	-10102
4e+10	2.62931	-24140
4e+10	2.64009	-25116
4e+10	2.65086	-22269
4e+10	2.66164	-21182
4e+10	2.67241	-25679
4e+10	2.68319	-24324
4e+10	2.69397	-26234
4e+10	2.70474	-23492
4e+10	2.71552	-18005
4e+10	2.72629	-23803
4e+10	2.73707	-26038
4e+10	2.74784	-34408
4e+10	2.75862	-26704
4e+10	2.7694	-25006
4e+10	2.78017	-26928
4e+10	2.79095	-29400
4e+10	2.80172	-27008
4e+10	2.8125	-20344
4e+10	2.82328	-21106
4e+10	2.83405	-31564
4e+10	2.84483	-30481
4e+10	2.8556	-26431
4e+10	2.86638	-29803
4e+10	2.87716	-24582
4e+10	2.88793	-31446
4e+10	2.89871	-34343
4e+10	2.90948	-35375
4e+10	2.92026	-36585
4e+10	2.93103	-38320
4e+10	2.94181	-30320
4e+10	2.95259	-37370
4e+10	2.96336	-38287
4e+10	2.97414	-40299
4e+10	2.98491	-36181
4e+10	2.99569	-34358
4e+10	3.00647	-37167
4e+10	3.01724	-42018
4e+10	3.02802	-37969
4e+10	3.03879	-39492
4e+10	3.04957	-35775
4e+10	3.06034	-27886
4e+10	3.07112	-35059
4e+10	3.0819	-41482
4e+10	3.09267	-33729
4e+10	3.10345	-36141
4e+10	3.11422	-30991
4e+10	3.125	-32627
